co_localite_pj|co_localite_insse|co_localite_insee_pj|lib_commune|principale
00416500|04000|00416500|Reynier|0
00416600|04166|04166|Riez|1
00416650|04000|00416650|Rioclar|0
00416700|04167|04167|La Robine sur Galabre|1
00416800|04000|00416800|Robion|0
00416900|04169|04169|La Rochegiron|1
00417000|04170|04170|La Rochette|1
00417050|04000|00417050|Rouaine|0
00417055|04000|00417055|Rouainette|0
00417100|04171|04171|Rougon|1
00417150|04000|00417150|La Rouine|0
00417200|04172|04172|Roumoules|1
00417300|04173|04173|Saint André les Alpes|1
00417350|04000|00417350|Saint Anne|0
00417400|04000|00417400|Saint Auban|0
00417420|04000|00417420|Saint Barthelemy de Meolans|0
00417421|04174|04174|Saint Benoît|1
00417500|04175|04175|Sainte Croix à Lauze|1
00417600|04176|04176|Sainte Croix de Verdon|1
00417700|04000|00417700|Saint Estève|0
00417800|04178|04178|Saint Etienne les Orgues|1
00417900|04179|04179|Saint Geniez|1
00417950|04000|00417950|Saint Grégoire|0
00417970|04000|00417970|Saint Honnorat De Clumanc|0
00418000|04180|04180|Saint Jacques|1
00418050|04000|00418050|Saint Jean Montclar|0
00418100|04181|04181|Saint Jeannet|1
00418200|04182|04182|Saint Julien d'Asse|1
00418300|04183|04183|Saint Julien du Verdon|1
00418400|04184|04184|Saint Jurs|1
00418500|04000|00418500|Saint Jurson|0
00418600|04186|04186|Saint Laurent du Verdon|1
00418700|04187|04187|Saint Lions|1
00418800|04188|04188|Saint Maime|1
00418850|04000|00418850|Saint Martin|0
00418900|04189|04189|Saint Martin de Brômes|1
00419050|04190|04190|Saint Martin Les Eaux|1
00419100|04191|04191|Saint Martin lès Seyne|1
00419200|04192|04192|Saint Michel l'Observatoire|1
00419215|04000|00419215|Saint Michel Peyresq|0
00419250|04000|00419250|Saint Ours|0
00419300|04193|04193|Saint Paul sur Ubaye|1
00419400|04194|04194|Saint Pierre|1
00419450|04000|00419450|Saint Pierre De Beaujeu|0
00419500|04195|04195|Saint Pons|1
00419550|04000|00419550|Saint Pons De Seyne|0
00419700|04197|04197|Sainte Tulle|1
00419800|04198|04198|Saint Vincent les Forts|1
00419900|04199|04199|Saint Vincent sur Jabron|1
00420000|04200|04200|Salignac|1
00420100|04201|04201|Saumane|1
00420150|04000|00420150|Saumelonge|0
00420200|04202|04202|Sausses|1
00420250|04073|00420250|Le Sauze|0
00420300|04203|04203|Selonnet|1
00420400|04204|04204|Senez|1
00420500|04205|04205|Seyne|1
00420550|04000|00420550|Les Sieyes|0
00420600|04206|04206|Sigonce|1
00420700|04207|04207|Sigoyer|1
00420800|04208|04208|Simiane la Rotonde|1
00420900|04209|04209|Sisteron|1
00421000|04210|04210|Soleilhas|1
00421100|04211|04211|Sourribes|1
00421200|04000|00421200|Taloire|0
00421300|04000|00421300|Tanaron|0
00421400|04214|04214|Tartonne|1
00421500|04000|00421500|Taulanne|0
00421600|04216|04216|Thèze|1
00421700|04217|04217|Thoard|1
00421800|04218|04218|Thorame Basse|1
00421900|04219|04219|Thorame Haute|1
00422000|04220|04220|Les Thuiles|1
00422020|04000|00422020|Les Tourniaires|0
00422050|04000|00422050|Tournoux|0
00422055|04000|00422055|Le Touyet|0
00422100|04000|00422100|Trévans|0
00422200|04222|04222|Turriers|1
00422400|04224|04224|Ubraye|1
00422500|04234|00422500|Urtis|0
00422600|04226|04226|Uvernet-Fours|1
00422700|04227|04227|Vachères|1
00422750|04000|00422750|Val d'Asse|0
00422770|04043|04043|Val de Chalvagne|1
00422800|04228|04228|Valavoire|1
00422900|04229|04229|Valbelle|1
00423000|04230|04230|Valensole|1
00423100|04231|04231|Valernes|1
00423200|04000|00423200|Valsaintes|0
00423300|04233|04233|Vaumeilh|1
00423400|04234|04234|Venterol|1
00423500|04235|04235|Verdaches|1
00423600|04236|04236|Vergons|1
00423700|04237|04237|Le Vernet|1
00423800|04000|00423800|Vilhosc|0
00423900|04000|00423900|Villars Brandis|0
00424000|04240|04240|Villars Colmars|1
00424050|04000|00424050|Villaudemard|0
00424100|04241|04241|Villemus|1
00424200|04242|04242|Villeneuve|1
00424250|04000|00424250|Villesèche|0
00424300|04000|00424300|Villevieille|0
00424400|04244|04244|Volonne|1
00424500|04245|04245|Volx|1
00500100|05001|05001|Abriès|1
00500200|05002|00500200|Agnières en Dévoluy|0
00500300|05003|05003|Aiguilles|1
00500315|05101|00500315|Ailefroide|0
00500350|05000|00500350|Les Alberts|0
00500400|05004|05004|Ancelle|1
00500500|05005|05005|Antonaves|1
00500600|05006|05006|L'Argentière la Bessée|1
00500700|05007|05007|Arvieux|1
00500800|05008|05008|Aspremont|1
00500900|05009|05009|Aspres lès Corps|1
00501000|05010|05010|Aspres sur Buëch|1
00501100|05011|05011|Avançon|1
00501200|05012|05012|Baratier|1
00501300|05013|05013|Barcillonnette|1
00501400|05014|05014|Barret sur Méouge|1
00501600|05016|05016|La Bâtie Montsaléon|1
00501700|05017|05017|La Bâtie Neuve|1
00501800|05018|05018|La Bâtie Vieille|1
00501900|05019|05019|La Beaume|1
00501950|05000|00501950|Les Begues|0
00502000|05020|05020|Bénévent et Charbillac|1
00502100|05021|05021|Le Bersac|1
00502150|05000|00502150|Le Bez|0
00502180|05000|00502180|Bramousse|0
00502200|05022|05022|Bréziers|1
00502300|05023|05023|Briançon|1
00502400|05024|05024|Bruis|1
00502450|05000|00502450|Brunissard|0
00502500|05025|05025|Buissard|1
00502600|05026|05026|Ceillac|1
00502654|05027|05027|Cervières|1
00502700|05000|00502700|Ceuse|0
00502800|05028|05028|Chabestan|1
00502900|05029|05029|Chabottes|1
00502920|05000|00502920|Chaillol|0
00502940|05000|00502940|La Chalp d'Arvieux|0
00502970|05000|00502970|Chalvet|0
00503100|05031|05031|Champcella|1
00503200|05032|05032|Champoléon|1
00503300|05033|05033|Chanousse|1
